State,City,Population,Violent,Murder,Rape,Robbery,Assault,Property,Burglary,Theft,Vehicle,Arson,Total Crimes,Crime Index
Virginia,Abingdon,7933,7,0,1,1,5,118,6,104,8,0,250,3.15
Virginia,Alexandria,162258,288,2,19,80,187,2517,117,2005,395,2,5612,3.46
Virginia,Amherst,2179,3,0,1,0,2,14,3,11,0,0,34,1.56
Virginia,Appalachia,1544,6,0,2,0,4,48,8,34,6,1,109,7.06
Virginia,Ashland,7916,19,0,1,4,14,158,8,142,8,1,355,4.48
Virginia,Bedford,6588,9,0,3,0,6,198,6,187,5,1,415,6.3
Virginia,Berryville,4363,1,0,0,0,1,33,6,27,0,0,68,1.56
Virginia,Big Stone Gap,5170,4,0,3,0,1,84,6,74,4,0,176,3.4
Virginia,Blacksburg,44948,50,0,26,1,23,275,38,228,9,1,651,1.45
Virginia,Bluefield,4822,9,0,3,1,5,274,9,254,11,0,566,11.74
Virginia,Bowling Green,1187,0,0,0,0,0,0,0,0,0,0,0,0
Virginia,Bridgewater,6167,0,0,0,0,0,23,2,21,0,0,46,0.75
Virginia,Bristol,16234,52,0,14,6,32,388,66,287,35,0,880,5.42
Virginia,Broadway,3973,0,0,0,0,0,13,4,9,0,0,26,0.65
Virginia,Brookneal,1098,2,0,0,1,1,9,0,9,0,0,22,2
Virginia,Buena Vista,6156,7,0,3,0,4,18,3,15,0,0,50,0.81
Virginia,Cape Charles,1002,4,0,0,0,4,3,0,3,0,0,14,1.4
Virginia,Cedar Bluff,1003,1,0,1,0,0,7,2,4,1,0,16,1.6
Virginia,Charlottesville,48453,157,0,32,22,103,1124,122,924,78,5,2567,5.3
Virginia,Chase City,2212,5,0,0,1,4,35,9,25,1,0,80,3.62
Virginia,Chatham,1433,0,0,0,0,0,9,0,9,0,0,18,1.26
Virginia,Chesapeake,243726,1112,7,111,139,855,5541,510,4641,390,12,13318,5.46
Virginia,Chilhowie,1710,0,0,0,0,0,20,1,17,2,0,40,2.34
Virginia,Chincoteague,2872,4,0,2,1,1,50,8,39,3,0,108,3.76
Virginia,Christiansburg,22700,31,0,7,4,20,466,28,424,14,2,996,4.39
Virginia,Clifton Forge,3465,8,0,1,0,7,43,5,35,3,0,102,2.94
Virginia,Clintwood,1287,0,0,0,0,0,25,2,23,0,0,50,3.89
Virginia,Coeburn,1857,2,0,0,0,2,39,9,24,6,0,82,4.42
Virginia,Colonial Beach,3593,11,0,2,1,8,48,5,41,2,0,118,3.28
Virginia,Colonial Heights,17793,71,1,20,6,44,720,37,663,20,4,1586,8.91
Virginia,Covington,5372,5,0,3,0,2,116,10,98,8,1,243,4.52
Virginia,Crewe,2148,9,0,0,2,7,43,11,31,1,1,105,4.89
Virginia,Culpeper,18873,32,0,4,13,15,340,9,315,16,0,744,3.94
Virginia,Damascus,787,0,0,0,0,0,56,3,49,4,0,112,14.23
Virginia,Danville,40191,112,8,11,25,68,1467,180,1205,82,10,3168,7.88
Virginia,Dayton,1636,1,0,0,1,0,8,2,6,0,0,18,1.1
Virginia,Dublin,2604,3,0,2,0,1,33,6,25,2,1,73,2.8
Virginia,Dumfries,5265,7,1,0,4,2,41,3,34,4,0,96,1.82
Virginia,Elkton,2900,3,0,0,0,3,71,34,35,2,1,149,5.14
Virginia,Emporia,5000,12,1,3,5,3,195,19,168,8,1,415,8.3
Virginia,Exmore,1368,9,0,2,2,5,33,5,25,3,0,84,6.14
Virginia,Fairfax City,24689,18,0,4,11,3,345,11,308,26,2,728,2.95
Virginia,Falls Church,15008,10,0,1,5,4,230,12,173,45,1,481,3.2
Virginia,Farmville,7830,31,0,5,3,23,167,16,146,5,1,397,5.07
Virginia,Franklin,7899,16,2,3,7,4,292,24,248,20,3,619,7.84
Virginia,Front Royal,15336,28,0,9,3,16,293,27,242,24,2,644,4.2
Virginia,Galax,6320,29,0,12,1,16,255,17,226,12,2,570,9.02
Virginia,Gate City,1857,4,0,1,0,3,22,1,19,2,0,52,2.8
Virginia,Glade Spring,1426,0,0,0,0,0,11,2,6,3,0,22,1.54
Virginia,Glasgow,1111,0,0,0,0,0,2,0,2,0,0,4,0.36
Virginia,Gordonsville,1621,6,0,1,0,5,19,3,16,0,0,50,3.08
Virginia,Gretna,1197,1,0,0,0,1,9,1,6,2,0,20,1.67
Virginia,Grottoes,2860,1,0,1,0,0,25,2,21,2,0,52,1.82
Virginia,Grundy,900,1,0,0,0,1,23,1,21,1,0,48,5.33
Virginia,Halifax,1217,2,0,0,0,2,22,9,11,2,0,48,3.94
Virginia,Hampton,133173,393,15,42,122,214,3994,347,3397,250,25,8799,6.61
Virginia,Harrisonburg,54387,112,0,32,17,63,924,68,813,43,5,2077,3.82
Virginia,Haymarket,1740,0,0,0,0,0,8,0,8,0,0,16,0.92
Virginia,Haysi,472,0,0,0,0,0,7,3,4,0,0,14,2.97
Virginia,Herndon,24693,64,2,5,25,32,270,15,230,25,0,668,2.71
Virginia,Hillsville,2644,7,0,2,0,5,54,4,49,1,0,122,4.61
Virginia,Honaker,1330,2,0,0,1,1,16,4,12,0,0,36,2.71
Virginia,Hopewell,22461,75,5,3,22,45,480,80,349,51,3,1113,4.96
Virginia,Hurt,1226,2,0,2,0,0,9,0,8,1,0,22,1.79
Virginia,Independence,896,0,0,0,0,0,5,1,3,1,0,10,1.12
Virginia,Jonesville,931,1,0,1,0,0,15,0,15,0,0,32,3.44
Virginia,Kenbridge,1180,0,0,0,0,0,0,0,0,0,0,0,0
Virginia,Kilmarnock,1410,1,0,0,0,1,21,1,20,0,1,45,3.19
Virginia,La Crosse,573,0,0,0,0,0,1,1,0,0,0,2,0.35
Virginia,Lawrenceville,993,1,0,0,0,1,10,1,8,1,0,22,2.22
Virginia,Lebanon,3148,9,0,4,1,4,128,6,120,2,0,274,8.7
Virginia,Leesburg,55461,102,0,20,19,63,570,21,530,19,1,1345,2.43
Virginia,Lexington,7107,7,0,1,1,5,27,3,24,0,0,68,0.96
Virginia,Louisa,1721,1,0,0,0,1,44,0,41,3,0,90,5.23
Virginia,Luray,4853,11,0,1,0,10,136,13,122,1,0,294,6.06
Virginia,Lynchburg,82512,316,2,35,60,219,1802,261,1382,159,11,4247,5.15
Virginia,Manassas,41850,103,2,19,26,56,623,53,528,42,13,1465,3.5
Virginia,Manassas Park,17602,21,0,13,2,6,154,12,131,11,1,351,1.99
Virginia,Marion,5593,24,0,3,1,20,224,33,184,7,1,497,8.89
Virginia,Martinsville,12726,66,2,9,13,42,343,49,260,34,0,818,6.43
Virginia,Middleburg,864,0,0,0,0,0,4,0,4,0,0,8,0.93
Virginia,Middletown,1396,0,0,0,0,0,5,0,4,1,0,10,0.72
Virginia,Mount Jackson,2115,3,0,2,0,1,21,3,18,0,0,48,2.27
Virginia,Narrows,1955,1,0,0,0,1,25,6,16,3,1,53,2.71
Virginia,New Market,2256,1,0,0,0,1,18,1,17,0,0,38,1.68
Virginia,Newport News,177319,1056,24,64,164,804,4484,503,3641,340,40,11120,6.27
Virginia,Norfolk,242813,1325,36,134,311,844,8405,841,6765,799,8,19468,8.02
Virginia,Norton,3940,6,0,2,0,4,134,8,120,6,0,280,7.11
Virginia,Occoquan,1109,1,0,0,0,1,2,0,2,0,0,6,0.54
Virginia,Onancock,1210,3,0,1,1,1,24,7,15,2,1,55,4.55
Virginia,Onley,500,1,0,0,1,0,21,1,18,2,0,44,8.8
Virginia,Orange,5092,15,0,3,0,12,81,12,68,1,0,192,3.77
Virginia,Parksley,810,0,0,0,0,0,4,0,2,2,0,8,0.99
Virginia,Pearisburg,2639,2,0,1,0,1,67,3,57,7,0,138,5.23
Virginia,Pembroke,1085,1,0,0,0,1,14,3,10,1,0,30,2.76
Virginia,Pennington Gap,1716,1,0,0,0,1,38,1,36,1,0,78,4.55
Virginia,Petersburg,31273,234,19,12,48,155,1034,131,760,143,2,2538,8.12
Virginia,Pocahontas,354,0,0,0,0,0,1,0,1,0,0,2,0.56
Virginia,Poquoson,12126,23,0,6,1,16,91,18,72,1,1,229,1.89
Virginia,Portsmouth,93991,889,16,37,230,606,5509,846,4189,474,11,12807,13.63
Virginia,Pulaski,8683,34,0,14,5,15,278,43,214,21,1,625,7.2
Virginia,Purcellville,10346,8,0,1,0,7,37,3,31,3,0,90,0.87
Virginia,Radford,18487,45,1,11,1,32,179,24,152,3,0,448,2.42
Virginia,Rich Creek,743,1,0,0,0,1,15,1,13,1,0,32,4.31
Virginia,Richlands,5198,16,0,8,0,8,100,16,76,8,2,234,4.5
Virginia,Richmond,230721,1068,55,45,385,583,8074,986,6234,854,44,18328,7.94
Virginia,Roanoke,99752,386,13,41,106,226,4402,519,3585,298,25,9601,9.62
Virginia,Rocky Mount,4744,20,2,9,3,6,268,10,248,10,1,577,12.16
