,Name,Type,Level,Zip_Code,Rating
5100126,Oakridge Elementary School,public,"p,e",22202,4
5106093,Busy Bee Child Care,private,"p,e",22202,
1100103,School Without Walls High School,public,h,20037,10
1100425,Capitol Kids Ii,private,"p,e",20037,
1100909,School Without Walls @ Francis-Stevens,public,"p,e,m",20037,5
1101203,Waterfront Academy,private,"p,e,m",20024,
1101224,Washington Global Public Charter School,charter,m,20024,5
1101265,Waterfront Academy,private,"p,e",20024,
1100400,Dot Child Development Center,private,"p,e",20024,
1100853,Jefferson Middle School Academy,public,m,20024,6
1100096,Amidon-Bowen Elementary School,public,"p,e",20024,5
5105790,Rosslyn Children's Center,private,"p,e",22209,
1101251,Goodwill Excel Center Public Charter School,charter,h,20006,
1100189,Owl School,private,"p,e,m",20006,
2613846,Caroline Education Community International PSA,private,"e,m,h",20006,
5101960,St Rita School,private,"p,e,m",22305,
5101970,Grace Episcopal School,private,"p,e",22305,
5100083,Cora Kelly Magnet Elementary,public,"p,e",22305,3
1101220,Templeton Academy,private,h,20004,
1100350,Just Us Kids,private,"p,e",20004,
1100847,BASIS DC ,charter,"e,m,h",20004,8
1101016,The School For Ethics And Global Leadership,private,h,20036,
1100060,Thomson Elementary School,public,"p,e",20005,6
5100115,Francis Scott Key Elementary School,public,"p,e",22201,4
5100123,Long Branch Elementary School,public,"p,e",22201,5
5100133,Washington Liberty High School,public,h,22201,5
5100138,Innovation Elementary School,public,"p,e",22201,6
5102953,First Baptist Church of Claredon CDC,private,"p,e",22201,
5102964,Arlington Montessori House,private,"p,e",22201,
5105223,Full Circle Montessori School,private,"p,e",22201,
5105427,New Directions Alternative High School Program,public,"e,m,h",22201,
5100110,Abingdon Elementary School,public,"p,e",22206,3
5100114,Dr. Charles R. Drew Elementary,public,"p,e",22206,4
5100136,Gunston Middle School,public,m,22206,5
5103008,Claremont Immersion,public,"p,e",22206,5
5100109,Randolph Elementary School,public,"p,e",22204,4
5100112,Barcroft Elementary School,public,"p,e",22204,5
5100117,Carlin Springs Elementary School,public,"p,e",22204,2
5100118,Henry Elementary School,public,"p,e",22204,6
5100121,Jefferson Middle School,public,m,22204,5
5100122,Kenmore Middle School,public,m,22204,4
5100132,Wakefield High School,public,h,22204,4
5102009,Our Savior Lutheran School,private,"p,e,m",22204,
5102474,Hoffman-Boston Elementary School,public,"p,e",22204,5
5102649,Campbell Elementary School,public,"p,e",22204,7
5103044,Tech. Ed. & Career Center,public,"e,m,h",22204,
5103145,Fairfax Academy Of Early Learning,private,"p,e",22204,
5104961,Arlington Mill High School,public,h,22204,1
5105247,Governor's Academy for Career and Technical Education In Arlington,public,"e,m,h",22204,
5105369,Family Education Center for Parenting Teens,public,"e,m,h",22204,
5107744,Montessori Public School of Arlington,public,"e,m,h",22204,
5107800,Full Circle Montessori School,private,"p,e",22204,
5107832,Metta Montessori School,private,"p,e",22204,
1101218,"Acton Academy of Washington, DC",private,e,20007,
1100013,Duke Ellington School of the Arts,public,h,20007,7
1100141,Hyde-Addison Elementary School,public,"p,e",20007,6
1100146,Hardy Middle School,public,m,20007,8
1100167,Georgetown Visitation Preparatory School,private,h,20007,
1100169,Holy Trinity Catholic School,private,"p,e,m",20007,
1100170,Our Lady of Victory School,private,"p,e,m",20007,
1100198,Field School,private,"m,h",20007,
1100201,St. Patrick's Episcopal Day School,private,"p,e,m",20007,
1100248,Georgetown Day School - Lower/Middle School,private,"p,e,m",20007,
1100302,Georgetown Montessori School Inc.,private,"p,e",20007,
1100314,The Montessori School Of Washington,private,"p,e",20007,
1100320,Children's House Of Washington,private,"p,e",20007,
