Zip Code,Lat,Long,City
20001,38.91002,-77.018,Washington
20002,38.90511,-76.98431,Washington
20003,38.88193,-76.99033,Washington
20004,38.89504,-77.02661,Washington
20005,38.90443,-77.0316,Washington
20006,38.89847,-77.04119,Washington
20007,38.91259,-77.07756,Washington
20008,38.93539,-77.05935,Washington
20009,38.91986,-77.03749,Washington
20010,38.93255,-77.03128,Washington
20011,38.95295,-77.02323,Washington
20012,38.97863,-77.03076,Washington
20015,38.96661,-77.05837,Washington
20016,38.93822,-77.09139,Washington
20017,38.93813,-76.99294,Washington
20018,38.92596,-76.97281,Washington
20019,38.89214,-76.94195,Washington
20020,38.86234,-76.97446,Washington
20024,38.87517,-77.0295,Washington
20032,38.83142,-77.01514,Washington
20036,38.90705,-77.04155,Washington
20037,38.89213,-77.0535,Washington
20045,38.89673,-77.0308,Washington
20052,38.89884,-77.04779,Washington
20057,38.90892,-77.07511,Washington
20059,38.92247,-77.02003,Washington
20064,38.93637,-76.99924,Washington
20204,38.88556,-77.01443,Washington
20220,38.89713,-77.03436,Washington
20230,38.89373,-77.03567,Washington
20240,38.89446,-77.04261,Washington
20245,38.89358,-77.04503,Washington
20250,38.88556,-77.03276,Washington
20260,38.88355,-77.02504,Washington
20317,38.93645,-77.0128,Washington
20319,38.86706,-77.01695,Washington
20373,38.85779,-77.01051,Naval Anacost Annex
20388,38.8718,-76.99481,Washington Navy Yard
20390,38.87902,-76.99375,Washington
20408,38.89284,-77.02301,Washington
20415,38.89494,-77.0442,Washington
20418,38.8928,-77.04776,Washington
20422,38.92714,-77.0103,Washington
20427,38.90207,-77.04755,Washington
20431,38.89895,-77.04419,Washington
20510,38.89278,-77.00689,Washington
20515,38.88681,-77.00901,Washington
20520,38.8947,-77.04848,Washington
20530,38.89313,-77.02503,Washington
20535,38.89514,-77.02493,Washington
20540,38.88793,-77.00471,Washington
20542,38.94136,-77.02801,Washington
20551,38.8928,-77.0458,Washington
20560,38.8902,-77.02745,Washington
20565,38.89007,-77.01955,Washington
20566,38.89667,-77.05536,Washington
20591,38.88695,-77.02297,Washington
20166,38.97146,-77.4637,Sterling
20169,38.87172,-77.64627,Haymarket
20170,38.98075,-77.38042,Herndon
20171,38.9246,-77.39824,Herndon
20175,39.0641,-77.59939,Leesburg
20176,39.18147,-77.5345,Leesburg
20180,39.26775,-77.63804,Lovettsville
20181,38.66687,-77.55374,Nokesville
20184,39.00143,-77.87874,Upperville
20186,38.69045,-77.843,Warrenton
20187,38.71846,-77.74275,Warrenton
20190,38.95968,-77.33806,Reston
20191,38.93438,-77.35184,Reston
20194,38.97998,-77.34354,Reston
20197,39.19379,-77.62252,Waterford
20198,38.87523,-77.76128,The Plains
22003,38.8308,-77.21402,Annandale
22015,38.78784,-77.28136,Burke
22025,38.59874,-77.3491,Dumfries
22026,38.56717,-77.29476,Dumfries
22027,38.89411,-77.22159,Dunn Loring
22030,38.83891,-77.34188,Fairfax
22031,38.85954,-77.2599,Fairfax
22032,38.82012,-77.29032,Fairfax
22033,38.87564,-77.38419,Fairfax
22035,38.85628,-77.36269,Fairfax
22039,38.74992,-77.31536,Fairfax Station
22041,38.8485,-77.14212,Falls Church
22042,38.86463,-77.19406,Falls Church
22043,38.90076,-77.19746,Falls Church
22044,38.85957,-77.15627,Falls Church
22046,38.88696,-77.18025,Falls Church
22060,38.70525,-77.15636,Fort Belvoir
22066,39.01032,-77.30258,Great Falls
22079,38.67998,-77.2055,Lorton
22101,38.9386,-77.16513,McLean
22102,38.95199,-77.22901,McLean
22124,38.8909,-77.33025,Oakton
22125,38.68217,-77.26073,Occoquan
22134,38.53186,-77.409,Quantico
22150,38.77198,-77.18605,Springfield
22151,38.80283,-77.2096,Springfield
22152,38.77564,-77.23149,Springfield
22153,38.74443,-77.23451,Springfield
22172,38.5742,-77.3895,Triangle
22180,38.89619,-77.25426,Vienna
22181,38.9053,-77.29466,Vienna
22182,38.93611,-77.2736,Vienna
22191,38.6249,-77.26849,Woodbridge
22192,38.68358,-77.31821,Woodbridge
22193,38.64233,-77.34881,Woodbridge
22201,38.88684,-77.09501,Arlington
22202,38.8569,-77.05175,Arlington
22203,38.87377,-77.1164,Arlington
22204,38.86076,-77.09894,Arlington
22205,38.88337,-77.13948,Arlington
22206,38.8442,-77.0886,Arlington
22207,38.90665,-77.12384,Arlington
22209,38.89413,-77.07309,Arlington
22211,38.88011,-77.07482,Fort Myer
22213,38.89459,-77.16239,Arlington
22214,38.87499,-77.06501,Arlington
22301,38.81995,-77.05934,Alexandria
22302,38.82799,-77.08432,Alexandria
22303,38.794,-77.08175,Alexandria
22304,38.81361,-77.11498,Alexandria
22305,38.83655,-77.06234,Alexandria
22306,38.75655,-77.09254,Alexandria
22307,38.7708,-77.05694,Alexandria
22308,38.72957,-77.05876,Alexandria
22309,38.71931,-77.10724,Alexandria
22310,38.78447,-77.12231,Alexandria
22311,38.83442,-77.12313,Alexandria
22312,38.81685,-77.15372,Alexandria
22314,38.80732,-77.0563,Alexandria
22315,38.75735,-77.14803,Alexandria
22401,38.29928,-77.48704,Fredericksburg
22405,38.31568,-77.40377,Fredericksburg
22406,38.39964,-77.55596,Fredericksburg
22407,38.28581,-77.58055,Fredericksburg
22408,38.21916,-77.44013,Fredericksburg
22427,38.07177,-77.28624,Bowling Green
22432,37.8637,-76.35043,Burgess
22433,38.35875,-77.86093,Burr Hill
22435,37.97216,-76.57288,Callao
22436,38.04698,-77.07471,Caret
22437,37.7764,-76.8156,Center Cross
22438,38.03788,-76.99971,Champlain
22443,38.18078,-76.99776,Colonial Beach
22448,38.33996,-77.03238,Dahlgren
22454,37.83599,-76.85032,Dunnsville
22460,37.87612,-76.60692,Farnham
22469,38.0667,-76.64749,Hague
22472,37.95897,-76.67257,Haynesville
22473,37.88316,-76.41386,Heathsville
22476,38.03807,-77.06872,Hustle
22480,37.66631,-76.41498,Irvington
22482,37.73723,-76.35245,Kilmarnock
22485,38.2717,-77.15996,King George
